,SCRAM,EEDUC,RRACE,TBIRTH_YEAR,RHISPANIC,RRACE,EEDUC,MS,EGENID_BIRTH,GENID_DESCRIBE,SEXUAL_ORIENTATION,ANYWORK,WEEK,INCOME,TENURE,KIDS_LT5Y,KIDS_5_11Y,KIDS_12_17Y,EST_ST
0,V480000001,5,1,1946,1,1,5,3,2,2,2,2,48,2,3,-88,-88,-88,41
1,V480000002,5,1,1958,1,1,5,1,1,1,2,2,48,-88,-88,-88,-88,-88,31
2,V480000003,3,1,1971,2,1,3,4,2,2,4,2,48,1,3,-88,-88,-88,17
3,V480000004,7,2,1967,1,2,7,2,2,2,2,1,48,4,2,-99,1,-99,13
4,V480000005,6,1,1977,1,1,6,3,2,2,2,1,48,2,2,-99,-99,1,33
5,V480000006,6,1,1994,1,1,6,5,2,2,1,1,48,4,3,-88,-88,-88,8
6,V480000007,2,2,1958,1,2,2,1,2,2,2,2,48,2,3,1,-99,-99,36
7,V480000008,4,1,1989,1,1,4,5,1,1,2,1,48,5,3,-88,-88,-88,27
8,V480000009,6,1,1976,1,1,6,1,2,2,3,2,48,6,2,-99,1,1,2
9,V480000010,7,1,1951,1,1,7,1,1,1,2,1,48,8,1,-88,-88,-88,53
10,V480000011,6,1,1957,1,1,6,1,1,1,2,1,48,5,2,-88,-88,-88,51
11,V480000012,7,1,1982,1,1,7,1,2,2,2,1,48,6,2,1,-99,-99,53
12,V480000013,7,3,1983,1,3,7,1,1,1,2,1,48,-88,-88,1,-99,-99,26
13,V480000014,7,2,1958,1,2,7,2,2,2,2,2,48,3,1,-88,-88,-88,10
14,V480000015,6,1,1970,2,1,6,-99,2,-99,-99,-99,48,-99,-99,-88,-88,-88,36
15,V480000016,7,1,1980,1,1,7,1,1,1,2,1,48,6,2,1,1,-99,26
16,V480000017,6,1,1950,1,1,6,1,2,2,2,2,48,5,1,-88,-88,-88,18
17,V480000018,7,1,1971,1,1,7,1,2,2,2,2,48,3,2,-88,-88,-88,32
18,V480000019,7,3,1964,1,3,7,3,2,2,-99,1,48,5,1,-88,-88,-88,41
19,V480000020,6,1,1997,1,1,6,5,2,2,1,2,48,4,3,-88,-88,-88,51
20,V480000021,3,1,1957,1,1,3,3,2,2,2,1,48,1,2,-88,-88,-88,47
21,V480000022,7,1,1976,1,1,7,1,2,2,2,1,48,7,1,-99,1,-99,51
22,V480000023,4,2,1990,1,2,4,5,2,2,1,1,48,-88,-88,-99,1,-99,6
23,V480000024,3,1,1989,1,1,3,1,2,2,2,2,48,-88,-88,-99,1,1,5
24,V480000025,4,1,1963,1,1,4,1,1,1,2,1,48,4,2,-99,1,-99,2
25,V480000026,7,1,1954,1,1,7,5,1,1,1,2,48,-88,-88,-88,-88,-88,35
26,V480000027,3,1,1962,1,1,3,1,1,1,2,1,48,4,1,-88,-88,-88,33
27,V480000028,6,1,1960,1,1,6,5,1,1,2,2,48,1,1,-88,-88,-88,23
28,V480000029,6,1,1953,1,1,6,1,2,2,2,2,48,3,1,-88,-88,-88,56
29,V480000030,6,1,1974,1,1,6,1,2,2,3,1,48,7,2,-99,-99,1,33
30,V480000031,6,1,1968,1,1,6,1,2,2,2,1,48,8,2,-88,-88,-88,30
31,V480000032,2,1,1978,2,1,2,1,1,1,2,2,48,-88,-88,-99,1,-99,4
32,V480000033,7,3,1962,1,3,7,1,2,2,2,1,48,-88,1,-88,-88,-88,10
33,V480000034,4,2,1964,1,2,4,3,2,2,2,1,48,5,1,-99,-99,-99,20
34,V480000035,5,4,1989,2,4,5,5,2,2,2,1,48,4,2,-99,1,1,6
35,V480000036,3,2,1964,1,2,3,3,2,2,2,2,48,1,1,-88,-88,-88,12
36,V480000037,6,1,1997,1,1,6,5,2,2,2,1,48,3,2,-88,-88,-88,40
37,V480000038,4,1,1964,1,1,4,1,2,2,2,2,48,4,1,-88,-88,-88,19
38,V480000039,4,1,1956,2,1,4,3,1,1,2,1,48,6,3,-88,-88,-88,9
39,V480000040,6,1,1952,1,1,6,1,1,1,2,1,48,8,1,-88,-88,-88,17
40,V480000041,4,1,1946,1,1,4,1,2,2,2,2,48,6,1,-88,-88,-88,42
41,V480000042,5,1,1985,1,1,5,1,2,2,2,1,48,6,2,-88,-88,-88,8
42,V480000043,7,3,1978,1,3,7,1,2,2,2,2,48,6,2,1,1,-99,53
43,V480000044,7,1,1942,1,1,7,1,1,1,2,2,48,7,1,-88,-88,-88,26
44,V480000045,7,1,1969,1,1,7,5,1,1,2,1,48,5,2,-99,-99,1,33
45,V480000046,4,1,1990,1,1,4,1,1,1,2,1,48,5,2,-88,-88,-88,19
46,V480000047,4,1,1963,1,1,4,1,1,1,2,1,48,7,2,-88,-88,-88,51
47,V480000048,6,1,1994,1,1,6,1,1,1,2,1,48,5,2,1,1,-99,30
48,V480000049,6,1,1976,1,1,6,1,2,2,2,1,48,4,2,-88,-88,-88,41
49,V480000050,7,1,1988,1,1,7,5,2,2,2,1,48,8,2,-88,-88,-88,8
50,V480000051,6,1,1989,1,1,6,5,2,2,2,1,48,-88,-88,-88,-88,-88,25
51,V480000052,6,1,1992,1,1,6,1,2,2,2,1,48,3,2,-88,-88,-88,55
